Layer,Name,GEOID,Population,INC_2019-2023,PCT-W_2019-2023,SNP_2019-2023
Census tract,Tract 402.02,17031040202,7318,62500,32.95499538075756,16.046039268788086
Census tract,Tract 403,17031040300,2928,79896,46.78868552412646,8.942390369733449
Census tract,Tract 404.01,17031040401,3129,103749.99999999999,56.688466111771696,5.971128608923885
Census tract,Tract 404.02,17031040402,4746,94541,73.88731060606061,2.4859663191659984
Census tract,Tract 406,17031040600,2530,90921,68.95412844036697,10.358255451713395
Census tract,Tract 407,17031040700,3426,109205,71.56646442360727,7.324276432368576
Census tract,Tract 408,17031040800,1636,110179,72.50814332247558,0.9102730819245772
Census tract,Tract 409,17031040900,2063,92167,76.70482827277252,1.4084507042253522
Census tract,Tract 501,17031050100,2568,114062.99999999999,82.60869565,5.276816609
Census tract,Tract 502,17031050200,5309,124166.99999999999,72.60375953843291,5.221072436500471
Census tract,Tract 503,17031050300,2671,166680.99999999997,51.92660550458715,5.499541704857928
Census tract,Tract 505,17031050500,5117,144249.99999999997,84.16439423,1.3045659809332664
Census tract,Tract 506,17031050600,2443,114940,79.83377077865266,1.595298068849706
Census tract,Tract 507,17031050700,1513,130698.99999999999,83.28840970350404,4.196816208393632
Census tract,Tract 508,17031050800,1406,157813,63.71367824238129,5.737704918032787
Census tract,Tract 509,17031050900,1426,136053,75.55123216601815,2.2658610271903323
Census tract,Tract 510,17031051000,1538,184464,70.57057057057057,0
Census tract,Tract 511,17031051100,1599,181826.99999999997,68.77682403433477,4.341926729986431
Census tract,Tract 512,17031051200,1581,174598,77.38019169329074,0.7751937984496124
Census tract,Tract 513,17031051300,2907,199890,74.83487450462351,4.524886877828054
Census tract,Tract 514,17031051400,2492,150356.99999999997,63.56154133931911,3.954802259887006
Census tract,Tract 601,17031060100,2830,145313,75.50047664442326,1.2470771628994544
Census tract,Tract 602,17031060200,2313,91081,70.99586966498393,6.688963210702341
Census tract,Tract 603,17031060300,3076,139306,75.79861111111111,6.327033689400165
Census tract,Tract 604,17031060400,3709,154037.99999999997,79.03930131004367,3.4615384615384617
